"","gene_id","moduleColor","GS.light","p.GS.light"
"NC_007677.1_WP_011405096.1","NC_007677.1_WP_011405096.1","turquoise",-0.730000732541474,0.00132504025018736
"NC_007677.1_WP_118827352.1","NC_007677.1_WP_118827352.1","blue",-0.47018978575388,0.066080066376997
"NC_007677.1_WP_237701963.1","NC_007677.1_WP_237701963.1","green",-0.0642809805940193,0.813036749440113
"NC_007677.1_WP_231847099.1","NC_007677.1_WP_231847099.1","red",-0.512687883704997,0.0422873819879451
"NC_007677.1_WP_011403746.1","NC_007677.1_WP_011403746.1","grey",-0.259846063225144,0.331097557833579
"NC_007677.1_WP_011403790.1","NC_007677.1_WP_011403790.1","blue",0.504246794153552,0.0464011095425864
"NC_007677.1_WP_011404304.1","NC_007677.1_WP_011404304.1","red",-0.408776837196538,0.115933547177826
"NC_007677.1_WP_011405370.1","NC_007677.1_WP_011405370.1","blue",0.60719439770469,0.0126148458481546
"NC_007677.1_WP_237701697.1","NC_007677.1_WP_237701697.1","turquoise",-0.739728126349144,0.0010545618259683
"NC_007677.1_WP_237701799.1","NC_007677.1_WP_237701799.1","blue",0.519274260283075,0.0392724854013619
"NC_007677.1_WP_011403715.1","NC_007677.1_WP_011403715.1","green",0.144911989233943,0.592325867621236
"NC_007677.1_WP_011404425.1","NC_007677.1_WP_011404425.1","blue",-0.104763448808166,0.699402992366685
"NC_007677.1_WP_011405457.1","NC_007677.1_WP_011405457.1","blue",-0.247065362134371,0.356261900648628
"NC_007677.1_WP_112903043.1","NC_007677.1_WP_112903043.1","green",0.106659777151984,0.694204409348576
"NC_007677.1_WP_011404637.1","NC_007677.1_WP_011404637.1","turquoise",-0.829036639327169,7.19068761671472e-05
"NC_007677.1_WP_011405515.1","NC_007677.1_WP_011405515.1","magenta",-0.387642971128841,0.137934459887959
"NC_007677.1_WP_011405087.1","NC_007677.1_WP_011405087.1","blue",0.0558003138828995,0.837373344582798
"NC_007677.1_WP_011405368.1","NC_007677.1_WP_011405368.1","turquoise",-0.807536147111628,0.000155049092160893
"NC_007677.1_WP_011404444.1","NC_007677.1_WP_011404444.1","turquoise",-0.747256244899042,0.000877804281226887
"NC_007677.1_WP_011404220.1","NC_007677.1_WP_011404220.1","green",0.0612801135054388,0.821631031351525
"NC_007677.1_WP_043552525.1","NC_007677.1_WP_043552525.1","black",-0.174120320010704,0.518965970387649
"NC_007677.1_WP_011403720.1","NC_007677.1_WP_011403720.1","yellow",-0.283712888246154,0.286933258826401
"NC_007677.1_WP_103015545.1","NC_007677.1_WP_103015545.1","turquoise",-0.962454273211284,2.5534739497725e-09
"NC_007677.1_WP_011403054.1","NC_007677.1_WP_011403054.1","turquoise",-0.674463316295217,0.00416039198229158
"NC_007677.1_WP_011404118.1","NC_007677.1_WP_011404118.1","blue",0.127201685717111,0.63874921653077
"NC_007677.1_WP_043552273.1","NC_007677.1_WP_043552273.1","blue",0.275388379419291,0.30191551254694
"NC_007677.1_WP_011405083.1","NC_007677.1_WP_011405083.1","brown",0.946780724568757,2.81507789953041e-08
"NC_007677.1_WP_011404069.1","NC_007677.1_WP_011404069.1","turquoise",-0.745829590355558,0.000909288138159586
"NC_007677.1_WP_011402829.1","NC_007677.1_WP_011402829.1","black",0.200436263689474,0.456686995502145
"NC_007677.1_WP_011402817.1","NC_007677.1_WP_011402817.1","blue",0.390827327425951,0.134449659869147
"NC_007677.1_WP_112902961.1","NC_007677.1_WP_112902961.1","yellow",-0.560100556513331,0.0240427744726841
"NC_007677.1_WP_237701854.1","NC_007677.1_WP_237701854.1","turquoise",-0.564732517105094,0.0226554076280328
"NC_007677.1_WP_237702044.1","NC_007677.1_WP_237702044.1","red",-0.341591230236608,0.195354309703377
"NC_007677.1_WP_013061975.1","NC_007677.1_WP_013061975.1","blue",0.608514590223718,0.0123715921353722
"NC_007677.1_WP_164923636.1","NC_007677.1_WP_164923636.1","blue",0.319369902490891,0.227914198493843
"NC_007677.1_WP_011403383.1","NC_007677.1_WP_011403383.1","red",0.0546905256201095,0.840568780660062
"NC_007677.1_WP_011403880.1","NC_007677.1_WP_011403880.1","turquoise",-0.639125644486641,0.00768864386385001
"NC_007677.1_WP_011404903.1","NC_007677.1_WP_011404903.1","brown",0.34177188469925,0.195102763999784
"NC_007677.1_WP_237701708.1","NC_007677.1_WP_237701708.1","yellow",-0.246598858220849,0.357200130608061
"NC_007677.1_WP_231847197.1","NC_007677.1_WP_231847197.1","pink",-0.593663775017593,0.0153303043026536
"NC_007677.1_WP_011404503.1","NC_007677.1_WP_011404503.1","blue",0.561656696731346,0.0235695914920072
"NC_007677.1_WP_237701738.1","NC_007677.1_WP_237701738.1","turquoise",-0.727599041578285,0.00139985851662034
"NC_007677.1_WP_011404729.1","NC_007677.1_WP_011404729.1","brown",0.736834312788898,0.00112981058944525
"NC_007677.1_WP_011404386.1","NC_007677.1_WP_011404386.1","grey",0.126484455439225,0.64065752402369
"NC_007677.1_WP_011402918.1","NC_007677.1_WP_011402918.1","brown",0.688386717026872,0.00319447907339468
"NC_007677.1_WP_237701734.1","NC_007677.1_WP_237701734.1","green",0.273703344225688,0.305003366889811
"NC_007677.1_WP_011403961.1","NC_007677.1_WP_011403961.1","yellow",-0.243616697896895,0.363230404007731
"NC_007677.1_WP_237702021.1","NC_007677.1_WP_237702021.1","black",0.741487332298745,0.00101085630656841
"NC_007677.1_WP_011403463.1","NC_007677.1_WP_011403463.1","yellow",-0.196602776902023,0.465519335009337
"NC_007677.1_WP_011403916.1","NC_007677.1_WP_011403916.1","turquoise",-0.872571834720838,1.03772680562189e-05
"NC_007677.1_WP_011404764.1","NC_007677.1_WP_011404764.1","turquoise",-0.617255393470133,0.0108524429032052
"NC_007677.1_WP_013061754.1","NC_007677.1_WP_013061754.1","yellow",-0.47998666205317,0.0598882165799619
"NC_007677.1_WP_237702008.1","NC_007677.1_WP_237702008.1","turquoise",-0.568382371390308,0.0216063145555095
